{'loss': '0.6068', 'grad_norm': '5.74', 'learning_rate': '4.979e-05', 'rewards/chosen': '-0.5686', 'rewards/rejected': '-0.7964', 'rewards/accuracies': '0.6844', 'rewards/margins': '0.2278', 'logps/chosen': '-18.38', 'logps/rejected': '-20.99', 'logits/chosen': '-95.38', 'logits/rejected': '-94.87', 'epoch': '0.004751'}
{'loss': '0.2409', 'grad_norm': '1.76', 'learning_rate': '4.147e-05', 'rewards/chosen': '-0.3374', 'rewards/rejected': '-3.02', 'rewards/accuracies': '0.9094', 'rewards/margins': '2.683', 'logps/chosen': '-16.06', 'logps/rejected': '-43.19', 'logits/chosen': '-112.3', 'logits/rejected': '-107.5', 'epoch': '0.171'}
{'loss': '0.2692', 'grad_norm': '2.067', 'learning_rate': '4.124e-05', 'rewards/chosen': '-0.3441', 'rewards/rejected': '-3.155', 'rewards/accuracies': '0.8875', 'rewards/margins': '2.811', 'logps/chosen': '-16.19', 'logps/rejected': '-44.6', 'logits/chosen': '-110.9', 'logits/rejected': '-104.8', 'epoch': '0.1758'}
{'loss': '0.1995', 'grad_norm': '3.338', 'learning_rate': '4.1e-05', 'rewards/chosen': '-0.2978', 'rewards/rejected': '-3.386', 'rewards/accuracies': '0.9156', 'rewards/margins': '3.088', 'logps/chosen': '-15.69', 'logps/rejected': '-46.85', 'logits/chosen': '-110.8', 'logits/rejected': '-103.1', 'epoch': '0.1805'}
{'loss': '0.2412', 'grad_norm': '2.417', 'learning_rate': '4.076e-05', 'rewards/chosen': '-0.355', 'rewards/rejected': '-3.667', 'rewards/accuracies': '0.9062', 'rewards/margins': '3.312', 'logps/chosen': '-16.23', 'logps/rejected': '-49.6', 'logits/chosen': '-111.5', 'logits/rejected': '-103.1', 'epoch': '0.1853'}
{'loss': '0.203', 'grad_norm': '1.915', 'learning_rate': '4.052e-05', 'rewards/chosen': '-0.389', 'rewards/rejected': '-3.503', 'rewards/accuracies': '0.9094', 'rewards/margins': '3.114', 'logps/chosen': '-16.46', 'logps/rejected': '-47.86', 'logits/chosen': '-112.4', 'logits/rejected': '-106', 'epoch': '0.19'}
{'loss': '0.2032', 'grad_norm': '2.162', 'learning_rate': '4.029e-05', 'rewards/chosen': '-0.2139', 'rewards/rejected': '-3.749', 'rewards/accuracies': '0.9281', 'rewards/margins': '3.535', 'logps/chosen': '-14.89', 'logps/rejected': '-50.49', 'logits/chosen': '-114.6', 'logits/rejected': '-108.4', 'epoch': '0.1948'}
{'loss': '0.239', 'grad_norm': '2.627', 'learning_rate': '4.005e-05', 'rewards/chosen': '-0.1288', 'rewards/rejected': '-3.786', 'rewards/accuracies': '0.9156', 'rewards/margins': '3.657', 'logps/chosen': '-13.91', 'logps/rejected': '-50.75', 'logits/chosen': '-113.7', 'logits/rejected': '-108.5', 'epoch': '0.1995'}
{'loss': '0.2535', 'grad_norm': '2.698', 'learning_rate': '3.981e-05', 'rewards/chosen': '-0.1742', 'rewards/rejected': '-3.468', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.294', 'logps/chosen': '-14.44', 'logps/rejected': '-47.65', 'logits/chosen': '-113.1', 'logits/rejected': '-108.4', 'epoch': '0.2043'}
{'loss': '0.2167', 'grad_norm': '2.826', 'learning_rate': '3.957e-05', 'rewards/chosen': '-0.09528', 'rewards/rejected': '-3.065', 'rewards/accuracies': '0.9312', 'rewards/margins': '2.969', 'logps/chosen': '-13.53', 'logps/rejected': '-43.52', 'logits/chosen': '-111.3', 'logits/rejected': '-108.6', 'epoch': '0.209'}
{'loss': '0.273', 'grad_norm': '4.449', 'learning_rate': '3.933e-05', 'rewards/chosen': '-0.2455', 'rewards/rejected': '-2.959', 'rewards/accuracies': '0.8875', 'rewards/margins': '2.714', 'logps/chosen': '-15.12', 'logps/rejected': '-42.5', 'logits/chosen': '-111.4', 'logits/rejected': '-108.5', 'epoch': '0.2138'}
{'loss': '0.2086', 'grad_norm': '3.612', 'learning_rate': '3.91e-05', 'rewards/chosen': '-0.1627', 'rewards/rejected': '-3.35', 'rewards/accuracies': '0.9219', 'rewards/margins': '3.187', 'logps/chosen': '-14.45', 'logps/rejected': '-46.57', 'logits/chosen': '-110.3', 'logits/rejected': '-104.9', 'epoch': '0.2185'}
{'loss': '0.2564', 'grad_norm': '3.201', 'learning_rate': '3.886e-05', 'rewards/chosen': '-0.2684', 'rewards/rejected': '-3.382', 'rewards/accuracies': '0.8906', 'rewards/margins': '3.114', 'logps/chosen': '-15.34', 'logps/rejected': '-46.76', 'logits/chosen': '-110.7', 'logits/rejected': '-104.4', 'epoch': '0.2233'}
{'loss': '0.1753', 'grad_norm': '5.514', 'learning_rate': '3.862e-05', 'rewards/chosen': '-0.1976', 'rewards/rejected': '-3.604', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.407', 'logps/chosen': '-14.6', 'logps/rejected': '-48.99', 'logits/chosen': '-110.4', 'logits/rejected': '-103.3', 'epoch': '0.228'}
{'loss': '0.2115', 'grad_norm': '4.915', 'learning_rate': '3.838e-05', 'rewards/chosen': '-0.1746', 'rewards/rejected': '-3.732', 'rewards/accuracies': '0.9187', 'rewards/margins': '3.557', 'logps/chosen': '-14.41', 'logps/rejected': '-50.23', 'logits/chosen': '-110', 'logits/rejected': '-102.6', 'epoch': '0.2328'}
{'loss': '0.2811', 'grad_norm': '4', 'learning_rate': '3.815e-05', 'rewards/chosen': '-0.3906', 'rewards/rejected': '-3.561', 'rewards/accuracies': '0.9', 'rewards/margins': '3.171', 'logps/chosen': '-16.61', 'logps/rejected': '-48.57', 'logits/chosen': '-110.7', 'logits/rejected': '-102.6', 'epoch': '0.2375'}
{'loss': '0.1629', 'grad_norm': '2.189', 'learning_rate': '3.791e-05', 'rewards/chosen': '-0.2823', 'rewards/rejected': '-3.796', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.514', 'logps/chosen': '-15.48', 'logps/rejected': '-50.93', 'logits/chosen': '-110.2', 'logits/rejected': '-101.6', 'epoch': '0.2423'}
{'loss': '0.2232', 'grad_norm': '4.333', 'learning_rate': '3.767e-05', 'rewards/chosen': '-0.2016', 'rewards/rejected': '-3.886', 'rewards/accuracies': '0.9094', 'rewards/margins': '3.684', 'logps/chosen': '-14.77', 'logps/rejected': '-51.92', 'logits/chosen': '-112.2', 'logits/rejected': '-104.5', 'epoch': '0.247'}
{'loss': '0.2756', 'grad_norm': '2.689', 'learning_rate': '3.743e-05', 'rewards/chosen': '-0.3974', 'rewards/rejected': '-3.332', 'rewards/accuracies': '0.9031', 'rewards/margins': '2.935', 'logps/chosen': '-16.73', 'logps/rejected': '-46.29', 'logits/chosen': '-108.5', 'logits/rejected': '-103.2', 'epoch': '0.2518'}
{'loss': '0.198', 'grad_norm': '4.784', 'learning_rate': '3.72e-05', 'rewards/chosen': '-0.4022', 'rewards/rejected': '-3.447', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.045', 'logps/chosen': '-16.65', 'logps/rejected': '-47.43', 'logits/chosen': '-106.4', 'logits/rejected': '-101', 'epoch': '0.2565'}
{'loss': '0.217', 'grad_norm': '2.927', 'learning_rate': '3.696e-05', 'rewards/chosen': '-0.2244', 'rewards/rejected': '-3.967', 'rewards/accuracies': '0.9156', 'rewards/margins': '3.742', 'logps/chosen': '-14.89', 'logps/rejected': '-52.59', 'logits/chosen': '-109.3', 'logits/rejected': '-104.1', 'epoch': '0.2613'}
{'loss': '0.2113', 'grad_norm': '3.312', 'learning_rate': '3.672e-05', 'rewards/chosen': '-0.1925', 'rewards/rejected': '-4.086', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.894', 'logps/chosen': '-14.68', 'logps/rejected': '-53.9', 'logits/chosen': '-109.2', 'logits/rejected': '-102.9', 'epoch': '0.266'}
{'loss': '0.1855', 'grad_norm': '4.674', 'learning_rate': '3.648e-05', 'rewards/chosen': '-0.1525', 'rewards/rejected': '-3.969', 'rewards/accuracies': '0.9281', 'rewards/margins': '3.816', 'logps/chosen': '-14.3', 'logps/rejected': '-52.76', 'logits/chosen': '-108.5', 'logits/rejected': '-102.7', 'epoch': '0.2708'}
{'loss': '0.2604', 'grad_norm': '3.834', 'learning_rate': '3.625e-05', 'rewards/chosen': '-0.2801', 'rewards/rejected': '-3.801', 'rewards/accuracies': '0.9062', 'rewards/margins': '3.521', 'logps/chosen': '-15.52', 'logps/rejected': '-51.02', 'logits/chosen': '-107.6', 'logits/rejected': '-103.8', 'epoch': '0.2755'}
{'loss': '0.2045', 'grad_norm': '2.971', 'learning_rate': '3.601e-05', 'rewards/chosen': '-0.3601', 'rewards/rejected': '-3.862', 'rewards/accuracies': '0.8938', 'rewards/margins': '3.502', 'logps/chosen': '-16.22', 'logps/rejected': '-51.57', 'logits/chosen': '-104.4', 'logits/rejected': '-100.2', 'epoch': '0.2803'}
{'loss': '0.1812', 'grad_norm': '2.974', 'learning_rate': '3.577e-05', 'rewards/chosen': '-0.2547', 'rewards/rejected': '-3.67', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.416', 'logps/chosen': '-15.24', 'logps/rejected': '-49.7', 'logits/chosen': '-105.5', 'logits/rejected': '-102', 'epoch': '0.285'}
{'loss': '0.186', 'grad_norm': '1.583', 'learning_rate': '3.553e-05', 'rewards/chosen': '-0.2435', 'rewards/rejected': '-3.829', 'rewards/accuracies': '0.9156', 'rewards/margins': '3.586', 'logps/chosen': '-15.18', 'logps/rejected': '-51.33', 'logits/chosen': '-105.9', 'logits/rejected': '-101.3', 'epoch': '0.2898'}
{'loss': '0.1368', 'grad_norm': '2.941', 'learning_rate': '3.53e-05', 'rewards/chosen': '-0.03752', 'rewards/rejected': '-4.19', 'rewards/accuracies': '0.9531', 'rewards/margins': '4.153', 'logps/chosen': '-13.06', 'logps/rejected': '-54.88', 'logits/chosen': '-107.1', 'logits/rejected': '-102.4', 'epoch': '0.2945'}
{'loss': '0.1935', 'grad_norm': '3.726', 'learning_rate': '3.506e-05', 'rewards/chosen': '0.09471', 'rewards/rejected': '-4.853', 'rewards/accuracies': '0.9312', 'rewards/margins': '4.947', 'logps/chosen': '-11.78', 'logps/rejected': '-61.56', 'logits/chosen': '-105.5', 'logits/rejected': '-99.04', 'epoch': '0.2993'}
{'loss': '0.2177', 'grad_norm': '4.832', 'learning_rate': '3.482e-05', 'rewards/chosen': '0.05577', 'rewards/rejected': '-4.302', 'rewards/accuracies': '0.9062', 'rewards/margins': '4.358', 'logps/chosen': '-12.05', 'logps/rejected': '-55.92', 'logits/chosen': '-105.2', 'logits/rejected': '-100.6', 'epoch': '0.304'}
{'loss': '0.1987', 'grad_norm': '2.657', 'learning_rate': '3.458e-05', 'rewards/chosen': '-0.00394', 'rewards/rejected': '-3.471', 'rewards/accuracies': '0.9312', 'rewards/margins': '3.467', 'logps/chosen': '-12.61', 'logps/rejected': '-47.58', 'logits/chosen': '-104.5', 'logits/rejected': '-103.1', 'epoch': '0.3088'}
{'loss': '0.1864', 'grad_norm': '4.976', 'learning_rate': '3.435e-05', 'rewards/chosen': '0.02365', 'rewards/rejected': '-3.567', 'rewards/accuracies': '0.9281', 'rewards/margins': '3.591', 'logps/chosen': '-12.45', 'logps/rejected': '-48.68', 'logits/chosen': '-102.8', 'logits/rejected': '-99.89', 'epoch': '0.3135'}
{'loss': '0.1767', 'grad_norm': '3.224', 'learning_rate': '3.411e-05', 'rewards/chosen': '0.08565', 'rewards/rejected': '-4.073', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.159', 'logps/chosen': '-11.98', 'logps/rejected': '-53.84', 'logits/chosen': '-104.9', 'logits/rejected': '-100.3', 'epoch': '0.3183'}
{'loss': '0.1131', 'grad_norm': '2.001', 'learning_rate': '3.387e-05', 'rewards/chosen': '0.1884', 'rewards/rejected': '-4.483', 'rewards/accuracies': '0.9563', 'rewards/margins': '4.671', 'logps/chosen': '-10.84', 'logps/rejected': '-57.88', 'logits/chosen': '-107.1', 'logits/rejected': '-100.4', 'epoch': '0.323'}
{'loss': '0.2424', 'grad_norm': '1.723', 'learning_rate': '3.363e-05', 'rewards/chosen': '0.009088', 'rewards/rejected': '-4.55', 'rewards/accuracies': '0.9281', 'rewards/margins': '4.559', 'logps/chosen': '-12.66', 'logps/rejected': '-58.57', 'logits/chosen': '-108.4', 'logits/rejected': '-99.59', 'epoch': '0.3278'}
{'loss': '0.2645', 'grad_norm': '2.525', 'learning_rate': '3.34e-05', 'rewards/chosen': '-0.01387', 'rewards/rejected': '-4.045', 'rewards/accuracies': '0.9156', 'rewards/margins': '4.032', 'logps/chosen': '-12.81', 'logps/rejected': '-53.4', 'logits/chosen': '-109.8', 'logits/rejected': '-101.2', 'epoch': '0.3325'}
{'loss': '0.2004', 'grad_norm': '2.972', 'learning_rate': '3.316e-05', 'rewards/chosen': '-0.07007', 'rewards/rejected': '-3.447', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.377', 'logps/chosen': '-13.43', 'logps/rejected': '-47.56', 'logits/chosen': '-107.3', 'logits/rejected': '-99.98', 'epoch': '0.3373'}
{'loss': '0.192', 'grad_norm': '3.84', 'learning_rate': '3.292e-05', 'rewards/chosen': '-0.1499', 'rewards/rejected': '-3.302', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.152', 'logps/chosen': '-14.23', 'logps/rejected': '-46.03', 'logits/chosen': '-111', 'logits/rejected': '-104', 'epoch': '0.342'}
{'loss': '0.1578', 'grad_norm': '2.959', 'learning_rate': '3.268e-05', 'rewards/chosen': '-0.04011', 'rewards/rejected': '-3.66', 'rewards/accuracies': '0.925', 'rewards/margins': '3.62', 'logps/chosen': '-13.1', 'logps/rejected': '-49.62', 'logits/chosen': '-114.1', 'logits/rejected': '-106.4', 'epoch': '0.3468'}
{'loss': '0.2499', 'grad_norm': '2.944', 'learning_rate': '3.245e-05', 'rewards/chosen': '-0.2373', 'rewards/rejected': '-3.594', 'rewards/accuracies': '0.8906', 'rewards/margins': '3.356', 'logps/chosen': '-15.06', 'logps/rejected': '-48.88', 'logits/chosen': '-113.6', 'logits/rejected': '-106.9', 'epoch': '0.3515'}
{'loss': '0.1848', 'grad_norm': '1.225', 'learning_rate': '3.221e-05', 'rewards/chosen': '-0.2022', 'rewards/rejected': '-3.94', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.737', 'logps/chosen': '-14.64', 'logps/rejected': '-52.34', 'logits/chosen': '-113.4', 'logits/rejected': '-103.4', 'epoch': '0.3563'}
{'loss': '0.2119', 'grad_norm': '5.472', 'learning_rate': '3.197e-05', 'rewards/chosen': '-0.3302', 'rewards/rejected': '-3.843', 'rewards/accuracies': '0.9062', 'rewards/margins': '3.513', 'logps/chosen': '-15.92', 'logps/rejected': '-51.38', 'logits/chosen': '-112.6', 'logits/rejected': '-103.3', 'epoch': '0.361'}
{'loss': '0.2035', 'grad_norm': '4.199', 'learning_rate': '3.173e-05', 'rewards/chosen': '-0.4711', 'rewards/rejected': '-3.568', 'rewards/accuracies': '0.9219', 'rewards/margins': '3.097', 'logps/chosen': '-17.4', 'logps/rejected': '-48.66', 'logits/chosen': '-112', 'logits/rejected': '-105.4', 'epoch': '0.3658'}
{'loss': '0.2031', 'grad_norm': '1.782', 'learning_rate': '3.15e-05', 'rewards/chosen': '-0.4831', 'rewards/rejected': '-3.709', 'rewards/accuracies': '0.9187', 'rewards/margins': '3.226', 'logps/chosen': '-17.53', 'logps/rejected': '-50.1', 'logits/chosen': '-110.6', 'logits/rejected': '-103.5', 'epoch': '0.3705'}
